NAICS2022_LABEL,EMP,NAME,GEO_ID,NAICS2022,us
Tortilla Manufacturing,19768,United States,0100000US,31183,1
Tortilla Manufacturing,19768,United States,0100000US,311830,1
Other Food Manufacturing,248757,United States,0100000US,3119,1
Snack Food Manufacturing,62417,United States,0100000US,31191,1
Roasted Nuts and Peanut Butter Manufacturing,19739,United States,0100000US,311911,1
Other Snack Food Manufacturing,42678,United States,0100000US,311919,1
Coffee and Tea Manufacturing,23506,United States,0100000US,31192,1
Coffee and Tea Manufacturing,23506,United States,0100000US,311920,1
Flavoring Syrup and Concentrate Manufacturing,8593,United States,0100000US,31193,1
Flavoring Syrup and Concentrate Manufacturing,8593,United States,0100000US,311930,1
Seasoning and Dressing Manufacturing,49467,United States,0100000US,31194,1
"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",24050,United States,0100000US,311941,1
Spice and Extract Manufacturing,25417,United States,0100000US,311942,1
All Other Food Manufacturing,104774,United States,0100000US,31199,1
Perishable Prepared Food Manufacturing,74630,United States,0100000US,311991,1
All Other Miscellaneous Food Manufacturing,30144,United States,0100000US,311999,1
Beverage and Tobacco Product Manufacturing,268798,United States,0100000US,312,1
Beverage Manufacturing,257357,United States,0100000US,3121,1
Soft Drink and Ice Manufacturing,81473,United States,0100000US,31211,1
Soft Drink Manufacturing,64502,United States,0100000US,312111,1
Bottled Water Manufacturing,11040,United States,0100000US,312112,1
Ice Manufacturing,5931,United States,0100000US,312113,1
Breweries,89823,United States,0100000US,31212,1
Breweries,89823,United States,0100000US,312120,1
Wineries,63475,United States,0100000US,31213,1
Wineries,63475,United States,0100000US,312130,1
Distilleries,22586,United States,0100000US,31214,1
Distilleries,22586,United States,0100000US,312140,1
Tobacco Manufacturing,11441,United States,0100000US,3122,1
Tobacco Manufacturing,11441,United States,0100000US,31223,1
Tobacco Manufacturing,11441,United States,0100000US,312230,1
Textile Mills,80726,United States,0100000US,313,1
"Fiber, Yarn, and Thread Mills",19117,United States,0100000US,3131,1
"Fiber, Yarn, and Thread Mills",19117,United States,0100000US,31311,1
"Fiber, Yarn, and Thread Mills",19117,United States,0100000US,313110,1
Fabric Mills,40474,United States,0100000US,3132,1
Broadwoven Fabric Mills,14081,United States,0100000US,31321,1
Broadwoven Fabric Mills,14081,United States,0100000US,313210,1
Narrow fabric mills and schiffli machine embroidery,5224,United States,0100000US,31322,1
Narrow fabric mills and schiffli machine embroidery,5224,United States,0100000US,313220,1
Nonwoven Fabric Mills,16151,United States,0100000US,31323,1
Nonwoven Fabric Mills,16151,United States,0100000US,313230,1
Knit Fabric Mills,5018,United States,0100000US,31324,1
Knit Fabric Mills,5018,United States,0100000US,313240,1
Textile and Fabric Finishing and Fabric Coating Mills,21135,United States,0100000US,3133,1
Textile and Fabric Finishing Mills,14057,United States,0100000US,31331,1
Textile and Fabric Finishing Mills,14057,United States,0100000US,313310,1
Fabric Coating Mills,7078,United States,0100000US,31332,1
Fabric Coating Mills,7078,United States,0100000US,313320,1
Textile Product Mills,99981,United States,0100000US,314,1
Textile Furnishings Mills,44674,United States,0100000US,3141,1
Carpet and rug mills,25955,United States,0100000US,31411,1
Carpet and rug mills,25955,United States,0100000US,314110,1
Curtain and Linen Mills,18719,United States,0100000US,31412,1
Curtain and Linen Mills,18719,United States,0100000US,314120,1
Other textile product mills,55307,United States,0100000US,3149,1
Textile Bag and Canvas Mills,23420,United States,0100000US,31491,1
Textile Bag and Canvas Mills,23420,United States,0100000US,314910,1
All Other Textile Product Mills,31887,United States,0100000US,31499,1
"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",6154,United States,0100000US,314994,1
All Other Miscellaneous Textile Product Mills,25733,United States,0100000US,314999,1
Apparel Manufacturing,68393,United States,0100000US,315,1
Apparel Knitting Mills,8786,United States,0100000US,3151,1
Apparel Knitting Mills,8786,United States,0100000US,31512,1
Apparel Knitting Mills,8786,United States,0100000US,315120,1
Cut and Sew Apparel Manufacturing,51651,United States,0100000US,3152,1
Cut and Sew Apparel Contractors,22468,United States,0100000US,31521,1
Cut and Sew Apparel Contractors,22468,United States,0100000US,315210,1
Cut and Sew Apparel Manufacturing (except Contractors),29183,United States,0100000US,31525,1
Cut and Sew Apparel Manufacturing (except Contractors),29183,United States,0100000US,315250,1
Apparel Accessories and Other Apparel Manufacturing,7956,United States,0100000US,3159,1
Apparel Accessories and Other Apparel Manufacturing,7956,United States,0100000US,31599,1
Apparel Accessories and Other Apparel Manufacturing,7956,United States,0100000US,315990,1
Leather and Allied Product Manufacturing,24220,United States,0100000US,316,1
Leather and Hide Tanning and Finishing,2999,United States,0100000US,3161,1
Leather and hide tanning and finishing,2999,United States,0100000US,31611,1
Leather and hide tanning and finishing,2999,United States,0100000US,316110,1
Footwear Manufacturing,8920,United States,0100000US,3162,1
Footwear Manufacturing,8920,United States,0100000US,31621,1
Footwear Manufacturing,8920,United States,0100000US,316210,1
Other Leather and Allied Product Manufacturing,12301,United States,0100000US,3169,1
Other Leather and Allied Product Manufacturing,12301,United States,0100000US,31699,1
Other Leather and Allied Product Manufacturing,12301,United States,0100000US,316990,1
Wood Product Manufacturing,437757,United States,0100000US,321,1
Sawmills and Wood Preservation,90592,United States,0100000US,3211,1
Sawmills and Wood Preservation,90592,United States,0100000US,32111,1
Sawmills,79158,United States,0100000US,321113,1
Wood Preservation,11434,United States,0100000US,321114,1
"Veneer, Plywood, and Engineered Wood Product Manufacturing",84314,United States,0100000US,3212,1
"Veneer, Plywood, and Engineered Wood Product Manufacturing",84314,United States,0100000US,32121,1
Hardwood Veneer and Plywood Manufacturing,10561,United States,0100000US,321211,1
Softwood Veneer and Plywood Manufacturing,13371,United States,0100000US,321212,1
Engineered Wood Member Manufacturing,48456,United States,0100000US,321215,1
Reconstituted Wood Product Manufacturing,11926,United States,0100000US,321219,1
Other wood product manufacturing,262851,United States,0100000US,3219,1
Millwork,117967,United States,0100000US,32191,1
Wood Window and Door Manufacturing,62363,United States,0100000US,321911,1
"Cut Stock, Resawing Lumber, and Planing",19617,United States,0100000US,321912,1
Other Millwork (including Flooring),35987,United States,0100000US,321918,1
Wood Container and Pallet Manufacturing,64963,United States,0100000US,32192,1
Wood Container and Pallet Manufacturing,64963,United States,0100000US,321920,1
All Other Wood Product Manufacturing,79921,United States,0100000US,32199,1
Manufactured Home (Mobile Home) Manufacturing,24554,United States,0100000US,321991,1
Prefabricated Wood Building Manufacturing,23896,United States,0100000US,321992,1
All Other Miscellaneous Wood Product Manufacturing,31471,United States,0100000US,321999,1
Paper Manufacturing,347651,United States,0100000US,322,1
"Pulp, paper, and paperboard mills",88907,United States,0100000US,3221,1
Pulp Mills,9279,United States,0100000US,32211,1
Pulp Mills,9279,United States,0100000US,322110,1
Paper Mills,43170,United States,0100000US,32212,1
Paper Mills,43170,United States,0100000US,322120,1
Paperboard Mills,36458,United States,0100000US,32213,1
Paperboard Mills,36458,United States,0100000US,322130,1
Converted paper product manufacturing,258744,United States,0100000US,3222,1
